engine_no,MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.cycles.MAX(recordings.operational_setting_1)),MAX(recordings.cycles.MAX(recordings.operational_setting_2)),MAX(recordings.cycles.MAX(recordings.operational_setting_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_1)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_10)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_11)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_12)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_13)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_14)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_15)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_16)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_17)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_18)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_19)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_2)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_20)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_21)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_4)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_5)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_6)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_7)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_8)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_9)),remaining_useful_life
1,42.0067,0.842,100.0,518.67,1.3,47.43,521.18,2388.06,8136.59,10.9141,0.03,392,2388,100.0,642.87,39.14,23.4578,1585.87,1404.99,14.62,21.59,553.15,2387.96,9053.86,42.0067,0.842,100.0,518.67,1.3,47.43,521.18,2388.06,8136.59,10.9141,0.03,392,2388,100.0,642.87,39.14,23.4578,1585.87,1404.99,14.62,21.59,553.15,2387.96,9053.86,220
2,42.0079,0.842,100.0,518.67,1.3,47.47,522.54,2388.14,8138.46,10.9057,0.03,393,2388,100.0,642.88,39.15,23.4692,1591.12,1406.87,14.62,21.61,555.0,2388.07,9056.19,42.0079,0.842,100.0,518.67,1.3,47.47,522.54,2388.14,8138.46,10.9141,0.03,393,2388,100.0,642.88,39.15,23.4692,1591.12,1406.87,14.62,21.61,555.0,2388.07,9056.19,198
3,42.0071,0.8418,100.0,518.67,1.3,47.36,524.69,2388.14,8147.3,10.8552,0.03,393,2388,100.0,642.87,39.36,23.6131,1589.88,1409.55,14.62,21.6,556.8,2388.14,9067.99,42.0079,0.842,100.0,518.67,1.3,47.47,524.69,2388.14,8147.3,10.9141,0.03,393,2388,100.0,642.88,39.36,23.6131,1591.12,1409.55,14.62,21.61,556.8,2388.14,9067.99,206
4,42.008,0.8419,100.0,518.67,1.3,47.54,522.3,2388.19,8146.95,10.9442,0.03,394,2388,100.0,642.95,39.11,23.4354,1596.26,1411.32,14.62,21.61,554.29,2388.1,9070.01,42.008,0.842,100.0,518.67,1.3,47.54,524.69,2388.19,8147.3,10.9442,0.03,394,2388,100.0,642.95,39.36,23.6131,1596.26,1411.32,14.62,21.61,556.8,2388.14,9070.01,173
5,42.0065,0.8417,100.0,518.67,1.3,47.72,521.43,2388.24,8131.69,10.9454,0.03,395,2388,100.0,643.51,38.96,23.406,1598.72,1417.79,14.62,21.61,554.14,2388.21,9056.14,42.008,0.842,100.0,518.67,1.3,47.72,524.69,2388.24,8147.3,10.9454,0.03,395,2388,100.0,643.51,39.36,23.6131,1598.72,1417.79,14.62,21.61,556.8,2388.21,9070.01,92
6,42.0077,0.8419,100.0,518.67,1.3,47.28,522.62,2388.11,8141.54,10.8964,0.03,393,2388,100.0,642.22,39.24,23.4679,1587.64,1404.57,14.62,21.58,554.44,2388.03,9063.62,42.008,0.842,100.0,518.67,1.3,47.72,524.69,2388.24,8147.3,10.9454,0.03,395,2388,100.0,643.51,39.36,23.6131,1598.72,1417.79,14.62,21.61,556.8,2388.21,9070.01,230
7,42.0078,0.842,100.0,518.67,1.3,47.93,521.84,2388.26,8133.76,10.9516,0.03,395,2388,100.0,643.45,38.99,23.3742,1600.27,1417.01,14.62,21.61,553.68,2388.2,9055.63,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,120
8,42.0079,0.842,100.0,518.67,1.3,47.45,522.9,2388.18,8136.93,10.9067,0.03,394,2388,100.0,642.78,39.15,23.4885,1590.37,1413.08,14.62,21.61,554.76,2388.12,9053.58,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,129
9,42.0077,0.8419,100.0,518.67,1.3,47.51,523.95,2388.12,8145.9,10.8598,0.03,392,2388,100.0,642.65,39.24,23.5392,1585.77,1402.04,14.62,21.61,556.31,2388.07,9064.55,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,233
10,42.0073,0.8418,100.0,518.67,1.3,47.38,521.04,2388.07,8135.89,10.8978,0.03,392,2388,100.0,642.45,39.11,23.4584,1588.23,1407.07,14.62,21.58,553.49,2387.98,9049.97,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,253
11,42.0077,0.8419,100.0,518.67,1.3,47.63,522.26,2388.17,8141.1,10.919,0.03,394,2388,100.0,642.91,38.94,23.422,1595.01,1413.21,14.62,21.61,554.39,2388.13,9065.72,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,200
12,42.0079,0.8419,100.0,518.67,1.3,47.38,521.28,2388.04,8138.29,10.8885,0.03,392,2388,100.0,642.7,39.08,23.5664,1586.77,1405.66,14.62,21.58,553.86,2387.97,9048.28,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,171
13,42.0078,0.8418,100.0,518.67,1.3,47.42,522.79,2388.08,8142.39,10.8732,0.03,394,2388,100.0,642.52,39.2,23.515,1589.1,1401.93,14.62,21.61,555.88,2388.06,9063.93,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,155
14,42.0077,0.842,100.0,518.67,1.3,47.25,522.29,2388.05,8142.52,10.8833,0.03,392,2388,100.0,642.36,39.17,23.5056,1585.5,1400.83,14.62,21.6,554.53,2388.01,9054.1,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,152
15,42.0074,0.842,100.0,518.67,1.3,47.56,525.25,2388.24,8151.24,10.8396,0.03,393,2388,100.0,643.01,39.32,23.6005,1590.44,1404.54,14.62,21.61,558.01,2388.1,9064.97,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,558.01,2388.21,9070.01,123
16,42.0077,0.8419,100.0,518.67,1.3,47.75,521.8,2388.24,8132.01,10.9304,0.03,394,2388,100.0,643.05,38.95,23.3613,1597.09,1417.18,14.62,21.61,553.61,2388.17,9054.34,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,558.01,2388.21,9070.01,83
17,42.0079,0.8419,100.0,518.67,1.3,47.44,522.62,2388.14,8140.42,10.9011,0.03,394,2388,100.0,642.85,39.12,23.4717,1591.76,1408.87,14.62,21.61,555.07,2388.13,9060.84,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,558.01,2388.21,9070.01,50
18,42.0078,0.8419,100.0,518.67,1.3,47.25,523.0,2388.11,8140.59,10.8858,0.03,393,2388,100.0,642.62,39.18,23.5129,1589.79,1401.54,14.62,21.58,555.31,2388.03,9061.74,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,558.01,2388.21,9070.01,242
19,42.0079,0.8419,100.0,518.67,1.3,47.73,521.83,2388.23,8127.22,10.937,0.03,395,2388,100.0,643.12,38.93,23.3271,1596.31,1418.16,14.62,21.61,554.03,2388.2,9048.16,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,109
20,42.0079,0.8419,100.0,518.67,1.3,47.69,522.65,2388.19,8139.13,10.9316,0.03,395,2388,100.0,643.14,38.94,23.4296,1595.86,1416.61,14.62,21.61,554.21,2388.14,9064.81,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,144
21,42.0077,0.8419,100.0,518.67,1.3,47.41,525.09,2388.17,8149.06,10.8547,0.03,393,2388,100.0,642.63,39.24,23.6432,1593.31,1404.37,14.62,21.6,557.37,2388.12,9067.32,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,126
22,42.0074,0.842,100.0,518.67,1.3,47.42,522.31,2388.18,8143.76,10.9307,0.03,394,2388,100.0,642.58,39.2,23.4844,1591.26,1405.07,14.62,21.61,554.62,2388.09,9067.61,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,110
23,42.0079,0.8417,100.0,518.67,1.3,47.51,522.7,2388.21,8147.98,10.9139,0.03,395,2388,100.0,642.57,39.23,23.4607,1593.23,1405.18,14.62,21.61,555.09,2388.11,9067.29,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,179
24,42.0076,0.8419,100.0,518.67,1.3,47.55,522.54,2388.18,8148.11,10.9292,0.03,394,2388,100.0,643.1,39.04,23.4665,1597.77,1410.04,14.62,21.61,554.53,2388.09,9065.65,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,85
25,42.0079,0.842,100.0,518.67,1.3,47.68,522.13,2388.23,8139.77,10.9157,0.03,396,2388,100.0,643.49,39.01,23.4451,1596.31,1412.08,14.62,21.61,554.41,2388.14,9064.96,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,49
26,42.0074,0.842,100.0,518.67,1.3,47.52,522.11,2388.17,8147.09,10.935,0.03,393,2388,100.0,643.0,39.07,23.4318,1597.96,1412.38,14.62,21.61,554.11,2388.11,9066.52,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9516,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,196
27,42.0079,0.8419,100.0,518.67,1.3,47.81,521.47,2388.24,8135.65,10.9741,0.03,395,2388,100.0,643.48,38.99,23.3885,1597.96,1416.93,14.62,21.61,554.05,2388.19,9053.01,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,62
28,42.0077,0.842,100.0,518.67,1.3,47.46,523.0,2388.13,8146.22,10.9105,0.03,394,2388,100.0,642.59,39.19,23.4854,1589.64,1407.01,14.62,21.61,554.5,2388.08,9060.33,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,101
29,42.0076,0.842,100.0,518.67,1.3,47.66,521.71,2388.24,8130.58,10.9266,0.03,394,2388,100.0,643.37,39.02,23.417,1596.85,1415.99,14.62,21.61,553.45,2388.19,9058.39,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,146
30,42.0078,0.8419,100.0,518.67,1.3,47.36,522.64,2388.15,8145.53,10.9011,0.03,392,2388,100.0,642.88,39.22,23.4795,1588.47,1404.93,14.62,21.61,555.01,2388.02,9064.42,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,196
31,42.0079,0.842,100.0,518.67,1.3,47.68,522.08,2388.14,8140.8,10.9485,0.03,393,2388,100.0,642.96,39.05,23.4066,1595.62,1413.24,14.62,21.61,554.56,2388.15,9061.04,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,162
32,42.0074,0.842,100.0,518.67,1.3,47.54,522.33,2388.21,8146.76,10.9252,0.03,394,2388,100.0,643.09,39.01,23.4496,1596.03,1408.79,14.62,21.61,554.56,2388.11,9065.44,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.26,8151.24,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.01,118
33,42.0075,0.8418,100.0,518.67,1.3,47.52,522.34,2388.3,8151.75,10.9363,0.03,394,2388,100.0,642.71,39.05,23.4994,1595.81,1414.56,14.62,21.61,554.36,2388.14,9070.47,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.47,100
34,42.0078,0.842,100.0,518.67,1.3,47.73,521.68,2388.26,8131.23,10.9476,0.03,394,2388,100.0,643.29,39.0,23.3576,1595.47,1415.95,14.62,21.61,554.1,2388.18,9050.64,42.008,0.842,100.0,518.67,1.3,47.93,525.25,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.47,175
35,42.0076,0.842,100.0,518.67,1.3,47.47,525.54,2388.25,8151.63,10.8451,0.03,393,2388,100.0,642.88,39.34,23.5966,1589.8,1407.08,14.62,21.61,557.59,2388.16,9070.28,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1418.16,14.62,21.61,558.01,2388.21,9070.47,120
36,42.0079,0.842,100.0,518.67,1.3,47.87,521.97,2388.25,8125.23,10.9458,0.03,395,2388,100.0,643.38,39.08,23.3881,1597.18,1420.02,14.62,21.61,553.82,2388.21,9048.91,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1420.02,14.62,21.61,558.01,2388.21,9070.47,42
37,42.0079,0.8419,100.0,518.67,1.3,47.27,521.64,2388.09,8137.68,10.8842,0.03,393,2388,100.0,642.19,39.15,23.4582,1588.71,1398.41,14.62,21.58,554.27,2387.98,9055.79,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1600.27,1420.02,14.62,21.61,558.01,2388.21,9070.47,287
38,42.0078,0.8417,100.0,518.67,1.3,47.7,521.58,2388.22,8132.84,10.9431,0.03,395,2388,100.0,643.16,38.97,23.448,1601.12,1416.15,14.62,21.61,554.56,2388.17,9056.71,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9070.47,76
39,42.0078,0.8418,100.0,518.67,1.3,47.43,522.56,2388.06,8140.07,10.8932,0.03,392,2388,100.0,642.44,39.16,23.5314,1590.26,1397.33,14.62,21.6,554.51,2388.0,9057.56,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9070.47,101
40,42.0063,0.8418,100.0,518.67,1.3,47.52,522.36,2388.17,8142.16,10.9267,0.03,393,2388,100.0,642.79,39.16,23.445,1594.26,1411.48,14.62,21.61,554.5,2388.1,9066.82,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9070.47,105
41,42.0075,0.8416,100.0,518.67,1.3,47.76,521.7,2388.24,8139.35,10.9445,0.03,394,2388,100.0,643.11,38.91,23.3532,1600.65,1411.07,14.62,21.61,553.57,2388.12,9065.76,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9070.47,178
42,42.0078,0.842,100.0,518.67,1.3,47.31,522.85,2388.07,8142.23,10.8906,0.03,393,2388,100.0,642.57,39.24,23.5287,1588.89,1401.28,14.62,21.6,555.33,2388.03,9056.36,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9070.47,179
43,42.0069,0.8419,100.0,518.67,1.3,47.26,523.15,2388.12,8141.62,10.8831,0.03,393,2388,100.0,642.53,39.31,23.5585,1588.01,1402.72,14.62,21.61,555.49,2388.04,9062.68,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.3,8151.75,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9070.47,122
44,42.008,0.8419,100.0,518.67,1.3,47.45,522.76,2388.31,8154.85,10.907,0.03,392,2388,100.0,642.45,39.16,23.5072,1591.1,1403.3,14.62,21.61,554.87,2388.05,9076.24,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,102
45,42.0077,0.842,100.0,518.67,1.3,47.65,522.02,2388.19,8134.58,10.9293,0.03,394,2388,100.0,643.42,38.99,23.399,1596.56,1415.63,14.62,21.61,554.34,2388.18,9057.45,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,76
46,42.0079,0.8418,100.0,518.67,1.3,47.31,522.53,2388.13,8143.33,10.87,0.03,392,2388,100.0,642.68,39.14,23.497,1585.38,1401.21,14.62,21.58,554.6,2388.01,9062.73,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,220
47,42.008,0.842,100.0,518.67,1.3,47.3,519.61,2388.06,8125.57,10.9133,0.03,392,2388,100.0,642.45,39.08,23.3986,1587.44,1401.99,14.62,21.59,551.64,2387.8,9043.82,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,274
48,42.008,0.8419,100.0,518.67,1.3,47.06,519.25,2388.01,8129.17,10.9291,0.03,391,2388,100.0,642.13,39.02,23.3788,1585.64,1398.8,14.62,21.57,551.57,2388.01,9045.34,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,221
49,42.0079,0.842,100.0,518.67,1.3,47.4,523.01,2388.12,8142.68,10.8638,0.03,393,2388,100.0,642.71,39.26,23.5103,1587.5,1403.1,14.62,21.59,555.26,2388.07,9063.06,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,345
50,42.0079,0.8416,100.0,518.67,1.3,47.27,524.11,2388.13,8145.04,10.8638,0.03,393,2388,100.0,642.57,39.32,23.5843,1591.79,1403.95,14.62,21.61,556.63,2388.08,9062.0,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,71
51,42.0077,0.842,100.0,518.67,1.3,47.52,523.91,2388.12,8145.23,10.8681,0.03,393,2388,100.0,642.49,39.24,23.5387,1592.87,1401.42,14.62,21.6,556.02,2388.1,9061.1,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,184
52,42.0078,0.842,100.0,518.67,1.3,47.34,523.2,2388.12,8143.52,10.9143,0.03,393,2388,100.0,642.8,39.3,23.576,1590.74,1401.59,14.62,21.59,555.66,2388.05,9062.51,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,256
53,42.0074,0.842,100.0,518.67,1.3,47.42,519.75,2388.04,8128.16,10.8957,0.03,391,2388,100.0,642.54,39.01,23.3779,1590.9,1403.24,14.62,21.58,552.1,2387.85,9041.13,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,203
54,42.0079,0.8419,100.0,518.67,1.3,47.19,521.51,2388.04,8134.87,10.9055,0.03,391,2388,100.0,642.34,39.19,23.4865,1588.42,1399.32,14.62,21.6,554.75,2387.99,9051.96,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,96
55,42.0069,0.842,100.0,518.67,1.3,47.44,522.65,2388.25,8151.06,10.9007,0.03,393,2388,100.0,642.71,39.28,23.5455,1593.45,1406.62,14.62,21.61,554.84,2388.06,9069.86,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,243
56,42.0079,0.842,100.0,518.67,1.3,47.71,522.01,2388.2,8136.15,10.9368,0.03,394,2388,100.0,643.01,39.0,23.3969,1594.68,1412.74,14.62,21.61,554.11,2388.13,9053.54,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,246
