engine_no,MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.cycles.MAX(recordings.operational_setting_1)),MAX(recordings.cycles.MAX(recordings.operational_setting_2)),MAX(recordings.cycles.MAX(recordings.operational_setting_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_1)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_10)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_11)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_12)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_13)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_14)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_15)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_16)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_17)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_18)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_19)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_2)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_20)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_21)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_4)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_5)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_6)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_7)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_8)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_9)),remaining_useful_life
57,42.0079,0.842,100.0,518.67,1.3,47.83,521.91,2388.24,8140.09,10.9625,0.03,395,2388,100.0,643.45,39.01,23.4146,1597.51,1416.12,14.62,21.61,553.68,2388.18,9063.51,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,92
58,42.0077,0.842,100.0,518.67,1.3,47.26,522.42,2388.1,8140.66,10.8923,0.03,392,2388,100.0,642.34,39.17,23.49,1589.35,1398.35,14.62,21.59,554.51,2388.02,9056.86,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9076.24,180
59,42.0079,0.8419,100.0,518.67,1.3,47.54,522.33,2388.21,8147.52,10.9223,0.03,393,2388,100.0,642.89,39.14,23.5012,1593.19,1412.19,14.62,21.61,554.56,2388.13,9077.22,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9077.22,76
60,42.0073,0.842,100.0,518.67,1.3,47.55,522.84,2388.17,8147.04,10.9169,0.03,394,2388,100.0,643.11,39.3,23.5042,1592.71,1409.53,14.62,21.61,554.78,2388.11,9066.87,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9077.22,117
61,42.0078,0.8419,100.0,518.67,1.3,47.37,523.31,2388.25,8149.87,10.889,0.03,392,2388,100.0,642.57,39.17,23.4993,1590.63,1401.96,14.62,21.61,555.17,2388.06,9070.35,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9077.22,143
62,42.0079,0.842,100.0,518.67,1.3,47.19,521.45,2388.06,8136.69,10.9036,0.03,392,2388,100.0,642.0,39.15,23.4526,1587.53,1401.29,14.62,21.59,553.65,2388.0,9054.05,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.31,8154.85,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9077.22,196
63,42.0072,0.8418,100.0,518.67,1.3,47.52,522.76,2388.45,8163.77,10.9155,0.03,393,2388,100.0,642.7,39.09,23.501,1593.88,1406.91,14.62,21.61,555.19,2388.06,9079.48,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,69
64,42.007,0.8419,100.0,518.67,1.3,47.55,522.4,2388.26,8150.28,10.9154,0.03,393,2388,100.0,642.66,39.11,23.4588,1592.14,1406.48,14.62,21.61,554.69,2388.11,9074.56,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,83
65,42.0078,0.842,100.0,518.67,1.3,47.29,523.2,2388.05,8139.15,10.8784,0.03,392,2388,100.0,642.51,39.32,23.6279,1590.77,1402.79,14.62,21.6,555.42,2388.04,9060.88,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,250
66,42.0078,0.8416,100.0,518.67,1.3,47.25,522.57,2388.06,8138.38,10.8845,0.03,392,2388,100.0,642.23,39.2,23.4796,1588.25,1403.41,14.62,21.59,555.43,2388.06,9056.18,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,74
67,42.0077,0.8416,100.0,518.67,1.3,47.53,521.8,2388.2,8139.87,10.9441,0.03,394,2388,100.0,643.17,38.97,23.4113,1597.31,1410.96,14.62,21.61,554.56,2388.2,9059.14,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,66
68,42.0074,0.8419,100.0,518.67,1.3,47.63,522.08,2388.31,8147.14,10.9288,0.03,395,2388,100.0,642.97,39.05,23.4854,1593.97,1416.41,14.62,21.61,554.41,2388.1,9069.79,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,62
69,42.007,0.8418,100.0,518.67,1.3,47.41,520.51,2388.05,8130.98,10.9182,0.03,391,2388,100.0,642.69,39.11,23.3996,1586.8,1408.78,14.62,21.58,553.05,2387.94,9051.1,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,125
70,42.0074,0.8419,100.0,518.67,1.3,47.44,522.89,2388.29,8154.39,10.9354,0.03,394,2388,100.0,642.9,39.12,23.5078,1591.17,1411.24,14.62,21.61,554.91,2388.04,9074.32,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,84
71,42.0079,0.8419,100.0,518.67,1.3,47.38,525.5,2388.21,8151.09,10.8659,0.03,393,2388,100.0,642.78,39.3,23.5584,1591.58,1405.77,14.62,21.6,557.52,2388.15,9065.24,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,211
72,42.0079,0.842,100.0,518.67,1.3,47.41,522.62,2388.13,8139.24,10.9122,0.03,394,2388,100.0,642.61,39.2,23.476,1593.57,1406.65,14.62,21.61,555.18,2388.09,9054.92,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,207
73,42.0078,0.8418,100.0,518.67,1.3,47.65,522.02,2388.27,8127.74,10.9437,0.03,394,2388,100.0,643.4,38.99,23.4599,1599.88,1413.8,14.62,21.61,554.26,2388.16,9049.58,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,80
74,42.008,0.8418,100.0,518.67,1.3,47.38,522.76,2388.1,8141.41,10.8958,0.03,393,2388,100.0,642.75,39.2,23.5048,1593.02,1403.25,14.62,21.61,555.15,2388.09,9059.92,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,143
75,42.0077,0.8418,100.0,518.67,1.3,47.66,521.85,2388.24,8145.4,10.9393,0.03,395,2388,100.0,643.11,38.9,23.3675,1595.83,1419.14,14.62,21.61,554.01,2388.18,9064.94,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.02,14.62,21.61,558.01,2388.21,9079.48,129
76,42.008,0.842,100.0,518.67,1.3,47.82,522.14,2388.2,8139.96,10.9416,0.03,394,2388,100.0,643.31,39.03,23.3921,1595.49,1420.8,14.62,21.61,554.6,2388.16,9058.63,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1601.12,1420.8,14.62,21.61,558.01,2388.21,9079.48,51
77,42.0078,0.8419,100.0,518.67,1.3,47.69,522.58,2388.28,8132.94,10.9287,0.03,394,2388,100.0,643.17,39.1,23.4705,1603.11,1408.43,14.62,21.61,554.46,2388.15,9057.74,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,47
78,42.0079,0.842,100.0,518.67,1.3,47.3,523.69,2388.11,8145.33,10.8523,0.03,393,2388,100.0,642.92,39.34,23.5723,1589.22,1402.48,14.62,21.6,556.08,2388.08,9060.81,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,149
79,42.0078,0.842,100.0,518.67,1.3,47.18,522.22,2388.07,8139.26,10.8921,0.03,393,2388,100.0,642.46,39.25,23.5094,1589.42,1400.89,14.62,21.6,554.99,2388.04,9055.82,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,117
80,42.0079,0.8418,100.0,518.67,1.3,47.29,523.35,2388.09,8139.11,10.8724,0.03,393,2388,100.0,642.44,39.21,23.5517,1590.74,1402.1,14.62,21.6,555.9,2388.04,9060.18,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,204
81,42.0076,0.8419,100.0,518.67,1.3,47.5,522.4,2388.2,8142.83,10.9177,0.03,394,2388,100.0,643.07,38.96,23.4763,1595.46,1414.36,14.62,21.61,554.47,2388.12,9066.58,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,86
82,42.0071,0.8417,100.0,518.67,1.3,47.7,521.82,2388.26,8143.32,10.9569,0.03,395,2388,100.0,643.38,39.0,23.3281,1597.19,1417.62,14.62,21.61,554.35,2388.17,9069.27,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,96
83,42.0078,0.8419,100.0,518.67,1.3,47.46,522.58,2388.18,8137.28,10.899,0.03,394,2388,100.0,642.87,39.13,23.44,1592.95,1411.17,14.62,21.61,554.65,2388.11,9056.4,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,83
84,42.0058,0.8418,100.0,518.67,1.3,47.59,522.26,2388.17,8143.66,10.9391,0.03,394,2388,100.0,642.85,39.11,23.4692,1594.05,1412.52,14.62,21.61,554.21,2388.17,9062.18,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,58
85,42.0073,0.842,100.0,518.67,1.3,47.77,521.94,2388.18,8144.27,10.9457,0.03,394,2388,100.0,643.03,39.1,23.3747,1598.17,1412.2,14.62,21.61,554.06,2388.12,9066.72,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,176
86,42.0077,0.8419,100.0,518.67,1.3,47.64,521.96,2388.18,8147.54,10.9363,0.03,394,2388,100.0,642.99,39.02,23.4867,1598.6,1412.9,14.62,21.61,554.35,2388.15,9067.36,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.36,23.6432,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,131
87,42.0078,0.8419,100.0,518.67,1.3,47.43,525.42,2388.21,8151.5,10.8489,0.03,394,2388,100.0,642.84,39.4,23.6456,1593.48,1405.74,14.62,21.61,557.73,2388.14,9067.78,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,158
88,42.0075,0.842,100.0,518.67,1.3,47.28,519.47,2388.03,8128.89,10.9271,0.03,392,2388,100.0,642.73,38.99,23.4628,1591.72,1403.86,14.62,21.57,551.8,2388.0,9044.97,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,287
89,42.008,0.842,100.0,518.67,1.3,47.52,522.88,2388.23,8148.05,10.9086,0.03,394,2388,100.0,642.83,39.02,23.4253,1599.89,1411.52,14.62,21.61,554.73,2388.11,9065.26,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,67
90,42.0077,0.842,100.0,518.67,1.3,47.53,522.38,2388.24,8145.57,10.891,0.03,393,2388,100.0,642.8,39.09,23.4537,1590.24,1408.54,14.62,21.61,554.7,2388.12,9070.36,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,111
91,42.008,0.842,100.0,518.67,1.3,47.37,523.98,2388.1,8145.28,10.8642,0.03,393,2388,100.0,642.59,39.39,23.6115,1589.21,1401.56,14.62,21.6,556.17,2388.05,9063.75,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,253
92,42.0075,0.842,100.0,518.67,1.3,47.7,521.72,2388.19,8143.24,10.9309,0.03,395,2388,100.0,643.18,39.06,23.4079,1596.74,1418.88,14.62,21.61,553.59,2388.16,9064.04,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,90
93,42.0078,0.8419,100.0,518.67,1.3,47.67,521.94,2388.24,8146.82,10.9498,0.03,395,2388,100.0,643.3,39.02,23.4168,1598.62,1419.63,14.62,21.61,553.98,2388.15,9070.99,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,95
94,42.0079,0.842,100.0,518.67,1.3,47.36,523.75,2388.1,8142.78,10.8724,0.03,394,2388,100.0,642.75,39.29,23.5135,1589.25,1401.06,14.62,21.6,556.02,2388.08,9058.28,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,148
95,42.0079,0.8419,100.0,518.67,1.3,47.33,523.28,2388.1,8145.1,10.8774,0.03,392,2388,100.0,642.44,39.25,23.5291,1592.24,1404.31,14.62,21.6,555.3,2388.01,9062.13,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,138
96,42.0076,0.842,100.0,518.67,1.3,47.26,522.8,2388.09,8137.19,10.8903,0.03,393,2388,100.0,642.31,39.25,23.5214,1586.39,1405.73,14.62,21.61,555.42,2388.04,9056.35,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,169
97,42.0075,0.842,100.0,518.67,1.3,47.4,524.79,2388.15,8146.89,10.8357,0.03,393,2388,100.0,642.68,39.29,23.5595,1591.85,1406.24,14.62,21.6,557.29,2388.11,9067.83,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,161
98,42.0079,0.8419,100.0,518.67,1.3,47.5,522.64,2388.19,8146.08,10.9059,0.03,395,2388,100.0,642.86,39.25,23.4545,1593.45,1407.32,14.62,21.61,554.84,2388.08,9068.02,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,144
99,42.0076,0.8419,100.0,518.67,1.3,47.64,522.0,2388.21,8141.56,10.9438,0.03,394,2388,100.0,642.63,39.0,23.4347,1596.82,1414.54,14.62,21.61,554.11,2388.17,9057.52,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,66
100,42.0079,0.842,100.0,518.67,1.3,47.31,521.92,2388.12,8142.48,10.8843,0.03,392,2388,100.0,642.51,39.14,23.5177,1586.65,1402.64,14.62,21.58,554.15,2388.01,9056.02,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,160
101,42.0079,0.842,100.0,518.67,1.3,47.6,522.43,2388.14,8132.6,10.9054,0.03,394,2388,100.0,642.68,39.14,23.46,1594.41,1412.63,14.62,21.61,554.48,2388.17,9050.23,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,159
102,42.0078,0.8418,100.0,518.67,1.3,47.69,521.81,2388.24,8134.42,10.933,0.03,395,2388,100.0,643.19,39.01,23.4196,1597.14,1416.44,14.62,21.61,554.17,2388.21,9052.84,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.51,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,93
103,42.0072,0.8419,100.0,518.67,1.3,47.81,521.86,2388.24,8128.75,10.9689,0.03,394,2388,100.0,643.74,38.92,23.328,1597.15,1417.23,14.62,21.61,553.89,2388.19,9046.59,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,123
104,42.0079,0.842,100.0,518.67,1.3,47.36,521.82,2388.07,8139.77,10.8995,0.03,393,2388,100.0,642.33,39.19,23.5187,1589.23,1402.43,14.62,21.58,554.25,2388.0,9056.56,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,102
105,42.0076,0.842,100.0,518.67,1.3,47.44,522.61,2388.29,8152.98,10.8996,0.03,394,2388,100.0,642.8,39.22,23.4897,1594.96,1405.36,14.62,21.61,555.25,2388.07,9073.38,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,69
106,42.0079,0.842,100.0,518.67,1.3,47.35,523.01,2388.22,8149.73,10.8919,0.03,394,2388,100.0,642.73,39.22,23.5243,1587.24,1399.76,14.62,21.61,554.93,2388.03,9070.11,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,165
107,42.0075,0.842,100.0,518.67,1.3,47.57,522.61,2388.24,8153.46,10.9252,0.03,394,2388,100.0,642.97,39.05,23.5028,1593.4,1413.38,14.62,21.61,554.79,2388.1,9072.27,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,82
108,42.0076,0.8418,100.0,518.67,1.3,47.36,525.03,2388.17,8148.93,10.8669,0.03,394,2388,100.0,642.53,39.29,23.5811,1593.48,1403.76,14.62,21.61,557.2,2388.11,9066.75,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.4,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,203
109,42.0066,0.842,100.0,518.67,1.3,47.2,522.6,2388.05,8144.64,10.883,0.03,392,2388,100.0,642.3,39.41,23.503,1590.37,1400.09,14.62,21.6,555.05,2388.04,9057.18,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,224
110,42.0076,0.8418,100.0,518.67,1.3,47.39,522.8,2388.25,8151.06,10.907,0.03,394,2388,100.0,642.86,39.08,23.4956,1593.94,1406.61,14.62,21.61,554.74,2388.09,9073.25,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,85
111,42.0077,0.8419,100.0,518.67,1.3,47.4,523.28,2388.1,8143.56,10.8716,0.03,392,2388,100.0,642.48,39.25,23.5171,1595.25,1402.17,14.62,21.61,555.44,2388.08,9059.21,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,196
112,42.0078,0.8419,100.0,518.67,1.3,47.54,522.37,2388.27,8150.59,10.895,0.03,393,2388,100.0,642.61,39.06,23.4961,1591.26,1409.68,14.62,21.61,554.39,2388.07,9068.12,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,239
113,42.007,0.842,100.0,518.67,1.3,47.72,522.27,2388.18,8142.84,10.9427,0.03,395,2388,100.0,643.01,39.01,23.3932,1595.39,1412.67,14.62,21.61,554.52,2388.13,9067.69,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,83
114,42.0079,0.8419,100.0,518.67,1.3,47.44,524.81,2388.19,8142.78,10.8722,0.03,393,2388,100.0,642.69,39.27,23.5848,1593.82,1405.96,14.62,21.61,556.7,2388.07,9062.55,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1420.8,14.62,21.61,558.01,2388.21,9079.48,60
115,42.0079,0.842,100.0,518.67,1.3,47.85,521.85,2388.27,8123.84,10.9685,0.03,394,2388,100.0,643.51,38.95,23.3325,1596.41,1421.42,14.62,21.61,553.54,2388.23,9045.77,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,30
116,42.0072,0.8419,100.0,518.67,1.3,47.24,520.84,2388.09,8137.28,10.9073,0.03,392,2388,100.0,642.53,39.13,23.4564,1589.37,1402.34,14.62,21.58,553.42,2387.98,9051.36,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,243
117,42.0079,0.842,100.0,518.67,1.3,47.4,524.45,2388.15,8148.17,10.8756,0.03,392,2388,100.0,642.73,39.22,23.5553,1591.35,1401.85,14.62,21.6,556.8,2388.11,9062.42,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,241
118,42.0077,0.8413,100.0,518.67,1.3,47.34,523.86,2388.12,8148.68,10.8467,0.03,393,2388,100.0,642.55,39.26,23.586,1593.17,1407.6,14.62,21.6,556.83,2388.15,9064.45,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,442
119,42.0079,0.842,100.0,518.67,1.3,47.67,522.0,2388.2,8142.16,10.9303,0.03,394,2388,100.0,643.18,39.11,23.4951,1596.48,1410.97,14.62,21.61,554.41,2388.15,9067.2,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,86
120,42.0075,0.8419,100.0,518.67,1.3,47.5,522.58,2388.13,8144.25,10.91,0.03,394,2388,100.0,642.67,39.13,23.4576,1593.92,1409.03,14.62,21.61,554.88,2388.11,9066.86,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,76
